t,v1,v2,v3,total
0,-1.452346196346432,0.5162118804191533,-1.9685580767655853,1.0324237608383067
1,-1.6648530805803685,-0.3629701203839575,-1.301882960196411,-0.7259402407679147
2,0.3101473934330997,-0.18559361870384794,0.49574101213694766,-0.3711872374076959
3,0.06997425027963222,-0.7823807104984924,0.8523549607781247,-1.564761420996985
4,-1.6009105030666462,-1.1166998246728443,-0.48421067839380194,-2.2333996493456882
5,-0.33789384562993463,-1.5643898504743114,1.226496004844377,-3.128779700948623
6,-2.148242349569201,-0.6662189909710927,-1.4820233585981082,-1.3324379819421852
7,-0.07247535980870386,2.513953359756081,-2.586428719564785,5.027906719512162
8,-2.4432802332227084,-3.024693800700224,0.5814135674775156,-6.049387601400447
9,1.3461551636073965,1.5043653364610399,-0.15821017285364347,3.0087306729220797
10,-0.023321232440986717,0.31185898801546297,-0.3351802204564497,0.6237179760309259
11,-1.1857865174554914,-1.7383119203416166,0.5525254028861254,-3.4766238406832333
12,0.8252361313633816,0.3962023916156327,0.4290337397477489,0.7924047832312655
13,-0.9024966766729425,-2.2870608416946085,1.3845641650216662,-4.574121683389217
14,-2.752827989192513,-1.2330668402308747,-1.5197611489616385,-2.4661336804617493
15,1.6387911733962444,-1.3517864762505802,2.990577649646825,-2.703572952501161
16,0.585685450259765,1.3188325208410068,-0.7331470705812418,2.6376650416820135
17,1.9775096986864678,0.8080767429844719,1.1694329557019958,1.616153485968944
18,-1.0432698371597031,-1.2386581333981885,0.19538829623848533,-2.4773162667963766
19,1.0119740033313094,-0.8148586718577755,1.826832675189085,-1.6297173437155512
20,2.0946597893362835,-0.40272042442021166,2.4973802137564953,-0.8054408488404234
21,1.5382353021113873,2.041011689760266,-0.5027763876488786,4.082023379520532
22,-1.3283043261729366,-1.2429929778910107,-0.08531134828192588,-2.4859859557820214
23,-0.5985871065669163,-1.805120030587172,1.2065329240202558,-3.610240061174344
24,-1.7905406390791987,0.13650807934191622,-1.927048718421115,0.27301615868383244
25,-0.7510528836573421,0.7543170245507568,-1.505369908208099,1.5086340491015136
26,0.1511006091886683,-0.73851221008292,0.8896128192715883,-1.47702442016584
27,-0.2967010886065763,-0.37818923654124004,0.08148814793466375,-0.7563784730824801
28,1.6345188148997127,0.6593652633861988,0.9751535515135139,1.3187305267723974
29,-1.323009992688722,-3.39344150799766,2.070431515308938,-6.78688301599532
30,-2.141464324790566,0.009343478674055383,-2.1508078034646214,0.018686957348110766
31,-0.0366368923049612,0.2876120629291677,-0.3242489552341289,0.5752241258583354
32,2.1743714219088046,0.43339767344963503,1.7409737484591696,0.86679534689927
33,1.3849627023634283,0.11235767576697343,1.272605026596455,0.22471535153394684
34,0.8962322989016932,0.23160977789553072,0.6646225210061625,0.46321955579106144
35,-2.117445064753563,-0.7011639934933428,-1.4162810712602203,-1.4023279869866856
36,-0.4771050913380231,-0.3739640035952308,-0.10314108774279229,-0.7479280071904616
37,3.4294438087375396,-0.01700300549334144,3.446446814230881,-0.03400601098668243
38,0.24858158384870244,-0.342648915095614,0.5912304989443165,-0.685297830191228
39,-4.323851557947758,-4.66528857192777,0.34143701398001286,-9.33057714385554
40,0.1362924238437997,0.4324671601224276,-0.2961747362786279,0.8649343202448552
41,-1.1187712798980307,-0.9094971385323062,-0.20927414136572442,-1.8189942770646124
42,0.6307126650316097,-0.1559182036510558,0.7866308686826655,-0.3118364073021116
43,0.5254720146403344,0.6612960148735565,-0.13582400023322205,1.322592029747113
44,0.7422278854268901,-0.2355291666167144,0.9777570520436045,-0.4710583332334288
45,-1.737080821405545,0.006792510503999205,-1.7438733319095445,0.013585021007998632
46,2.5271117888155006,1.9646507594693985,0.5624610293461023,3.9293015189387965
47,-1.895168665614077,0.4441233738273853,-2.339292039441462,0.8882467476547704
48,2.7708419414970202,-0.6364615774105553,3.4073035189075758,-1.2729231548211106
49,-2.3148631150683348,-0.26450089099448093,-2.0503622240738535,-0.5290017819889621
50,1.2940683626676748,-0.06505583764597667,1.3591242003136514,-0.13011167529195333
51,1.069887080349912,1.5247395744997148,-0.45485249414980267,3.0494791489994295
52,0.8536433090277871,0.7240854444990141,0.12955786452877294,1.4481708889980283
53,-1.027722209761498,-1.162591362368517,0.1348691526070191,-2.3251827247370342
54,-0.7167458479222477,-1.351194185036992,0.6344483371147442,-2.702388370073984
55,1.9343276346245537,-0.015017843914680473,1.9493454785392343,-0.030035687829361057
56,0.22364356140007724,0.7217068039192454,-0.4980632425191681,1.4434136078384907
57,1.226371461200928,-1.0193484346950812,2.245719895896009,-2.0386968693901624
58,1.1364681908114795,-0.4163891699620078,1.5528573607734872,-0.8327783399240155
59,-0.13158469913148418,-0.7851303128436459,0.6535456137121617,-1.5702606256872917
60,0.39923860300997727,2.4464301397594883,-2.0471915367495113,4.892860279518977
61,-0.3588864680780629,0.18674194623592946,-0.5456284143139923,0.37348389247185887
62,-2.1037899469792487,-0.33223183337614304,-1.7715581136031058,-0.6644636667522859
63,-1.9104647925599498,-2.3941773752705986,0.483712582710649,-4.788354750541198
64,-1.698625417156733,-1.014754694424659,-0.6838707227320739,-2.029509388849318
65,1.0086626950202324,2.297147553334327,-1.2884848583140949,4.594295106668654
66,0.3297181403264088,0.6921738626107241,-0.36245572228431533,1.3843477252214482
67,-2.9466583274035085,2.5598640774754595,-5.506522404878968,5.119728154950919
68,1.5120610406958424,0.6573381784474496,0.8547228622483928,1.314676356894899
69,0.8943047141164925,1.2906236155118596,-0.39631890139536713,2.581247231023719
70,2.441874327301862,1.308945472955068,1.132928854346794,2.617890945910136
71,-1.9547897939602925,-1.817642473594879,-0.13714732036541333,-3.635284947189758
72,0.4906886957496833,0.1107543096391696,0.3799343861105138,0.2215086192783391
73,0.0907129462402631,0.5766975089336963,-0.48598456269343326,1.1533950178673926
74,-1.3258120091006453,-2.41390919535713,1.0880971862564848,-4.82781839071426
75,1.2796229503061851,3.2885328042729363,-2.0089098539667516,6.577065608545873
76,0.41928639651401667,-0.7065809320460748,1.1258673285600913,-1.4131618640921495
77,-0.9487645183066387,-2.070293938735254,1.1215294204286155,-4.140587877470508
78,-1.0390829779275255,-1.3361564194201443,0.29707344149261883,-2.6723128388402886
79,-0.0803689275356243,-0.9591231441024342,0.8787542165668099,-1.9182462882048683
80,0.2682791815690113,0.06898150993639646,0.19929767163261483,0.13796301987279294
81,0.6439656081988518,0.5057249908823441,0.13824061731650783,1.011449981764688
82,2.2953810143055264,1.6967079092765467,0.5986731050289799,3.393415818553093
83,-0.18245247368206535,-0.8497499049797295,0.6672974312976642,-1.699499809959459
84,1.536303059998419,2.326637930288875,-0.7903348702904559,4.65327586057775
85,1.24899354369661,1.4299009268766205,-0.18090738318001054,2.8598018537532415
86,-1.2418086854746266,0.3207202270050463,-1.562528912479673,0.6414404540100928
87,-2.4625461586998183,-2.29258583521963,-0.16996032348018794,-4.58517167043926
88,-0.1062524132497846,-0.8150288561318133,0.7087764428820287,-1.6300577122636266
89,-0.29217896061061605,-0.2519682445173263,-0.04021071609328972,-0.5039364890346526
90,-2.516929770190986,-1.9108239942237037,-0.6061057759672819,-3.821647988447408
